Date,Open,High,Low,Close,Volume
8-Sep-17,160.86,161.15,158.53,158.63,28611535
5-Sep-17,163.75,164.25,160.56,162.08,29536314
1-Sep-17,164.80,164.94,163.63,164.05,16591051
31-Aug-17,163.64,164.52,163.48,164.00,26785096
30-Aug-17,163.80,163.89,162.61,163.35,27269584
29-Aug-17,160.10,163.12,160.00,162.91,29516910
28-Aug-17,160.14,162.00,159.93,161.47,25965972
25-Aug-17,159.65,160.56,159.27,159.86,25480063
24-Aug-17,160.43,160.74,158.55,159.27,19818918
23-Aug-17,159.07,160.47,158.88,159.98,19399081
22-Aug-17,158.23,160.00,158.02,159.78,21604585
21-Aug-17,157.50,157.89,155.11,157.21,26368528
18-Aug-17,157.86,159.50,156.72,157.50,27428069
17-Aug-17,160.52,160.71,157.84,157.86,27940565
16-Aug-17,161.94,162.51,160.15,160.95,27671612
15-Aug-17,160.66,162.20,160.14,161.60,29465487
14-Aug-17,159.32,160.21,158.75,159.85,22122734
11-Aug-17,156.60,158.57,156.07,157.48,26257096
